                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 0.9667,                0.98169,                 1.0639,                0.61195,                0.76431,                0.68358,                0.46124,                 1.0935,                 1.4612,                 1.1635,             0.00052827,             0.00052827,             0.00052827
                     72,                0.95628,                0.90595,                  1.059,                0.63349,                  0.741,                0.67981,                0.45394,                 1.1017,                 1.4344,                 1.1624,             0.00051177,             0.00051177,             0.00051177
                     73,                0.96526,                0.88474,                 1.0558,                0.62951,                0.75079,                0.67332,                0.44859,                 1.1074,                 1.4836,                 1.1601,             0.00049527,             0.00049527,             0.00049527
                     74,                0.95423,                0.91668,                 1.0656,                0.60477,                0.73326,                0.64821,                0.43005,                 1.1148,                 1.5307,                  1.171,             0.00047876,             0.00047876,             0.00047876
                     75,                 0.9734,                0.88203,                 1.0652,                 0.6203,                0.71933,                0.65337,                 0.4446,                 1.0957,                 1.6128,                 1.1708,             0.00046226,             0.00046226,             0.00046226
                     76,                0.97905,                0.91288,                 1.0958,                0.61891,                 0.7107,                0.67141,                0.45616,                 1.0883,                 1.6373,                 1.1694,             0.00044576,             0.00044576,             0.00044576
                     77,                0.95573,                0.96159,                 1.0585,                0.62773,                  0.702,                0.67338,                0.45978,                 1.0786,                 1.5655,                 1.1612,             0.00042925,             0.00042925,             0.00042925
                     78,                0.95655,                0.90441,                 1.0685,                0.60861,                0.75227,                 0.6656,                0.46136,                 1.0754,                 1.4811,                 1.1584,             0.00041275,             0.00041275,             0.00041275
                     79,                0.94104,                0.89644,                 1.0562,                0.61276,                0.74281,                0.64947,                0.44319,                 1.0736,                 1.4397,                 1.1551,             0.00039625,             0.00039625,             0.00039625
                     80,                 0.9294,                0.86959,                 1.0546,                0.60921,                0.72595,                0.63436,                 0.4311,                  1.085,                 1.4749,                 1.1573,             0.00037974,             0.00037974,             0.00037974
                     81,                0.94531,                0.92547,                 1.0616,                0.63611,                0.69532,                 0.6613,                0.44926,                 1.0915,                 1.4498,                 1.1557,             0.00036324,             0.00036324,             0.00036324
                     82,                0.95233,                0.91494,                 1.0528,                0.63052,                0.74895,                0.68278,                0.46538,                 1.0837,                 1.4427,                 1.1504,             0.00034674,             0.00034674,             0.00034674
                     83,                0.94396,                0.89237,                 1.0622,                0.63406,                 0.7276,                0.67698,                0.46215,                 1.0778,                 1.4342,                 1.1492,             0.00033023,             0.00033023,             0.00033023
                     84,                0.93972,                0.88072,                 1.0524,                0.62542,                0.73523,                0.67585,                0.45776,                 1.0818,                 1.4086,                 1.1523,             0.00031373,             0.00031373,             0.00031373
                     85,                0.92684,                0.83369,                 1.0445,                0.63305,                0.72292,                0.67497,                0.46297,                 1.0791,                 1.4055,                 1.1569,             0.00029723,             0.00029723,             0.00029723
                     86,                0.94554,                0.87032,                 1.0488,                0.64989,                0.71337,                0.66059,                0.45136,                  1.083,                 1.4136,                 1.1611,             0.00028072,             0.00028072,             0.00028072
                     87,                0.93246,                0.85746,                 1.0376,                0.62919,                0.73242,                0.65578,                0.44876,                 1.0771,                  1.421,                  1.159,             0.00026422,             0.00026422,             0.00026422
                     88,                0.93317,                0.82037,                 1.0524,                 0.6133,                0.74383,                0.66152,                0.45359,                 1.0738,                 1.4443,                 1.1566,             0.00024772,             0.00024772,             0.00024772
                     89,                0.94371,                0.83147,                 1.0438,                0.61921,                0.75267,                0.65707,                0.45411,                 1.0713,                 1.4641,                  1.154,             0.00023121,             0.00023121,             0.00023121
                     90,                0.92907,                0.80712,                 1.0489,                0.64329,                0.70332,                0.66195,                 0.4588,                 1.0675,                 1.4928,                 1.1503,             0.00021471,             0.00021471,             0.00021471
                     91,                0.94837,                0.88411,                 1.0671,                0.59252,                0.76921,                0.65527,                0.45418,                 1.0732,                  1.509,                 1.1516,             0.00019821,             0.00019821,             0.00019821
                     92,                0.92745,                0.84628,                  1.055,                0.59471,                0.75035,                0.65335,                 0.4499,                 1.0968,                 1.5701,                 1.1617,              0.0001817,              0.0001817,              0.0001817
                     93,                0.93801,                0.81563,                 1.0716,                0.61165,                0.70863,                 0.6453,                0.44326,                 1.0959,                 1.5971,                 1.1654,              0.0001652,              0.0001652,              0.0001652
                     94,                0.92557,                0.82268,                 1.0506,                0.59968,                 0.7077,                0.63866,                0.44052,                 1.0845,                 1.5814,                  1.164,              0.0001487,              0.0001487,              0.0001487
                     95,                0.91891,                0.80723,                  1.056,                0.59031,                0.73211,                0.64126,                0.44152,                 1.0822,                 1.5945,                 1.1636,             0.00013219,             0.00013219,             0.00013219
                     96,                0.92893,                0.80144,                 1.0524,                0.59914,                0.73257,                0.64796,                 0.4454,                  1.083,                 1.6065,                 1.1658,             0.00011569,             0.00011569,             0.00011569
                     97,                0.91515,                0.77639,                 1.0469,                0.59402,                0.73861,                0.64706,                0.44644,                 1.0824,                 1.6162,                 1.1672,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.91667,                0.80465,                 1.0474,                0.61031,                0.72774,                0.64208,                0.44474,                 1.0828,                  1.612,                 1.1693,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.91924,                0.77544,                 1.0654,                0.62369,                0.71565,                0.64831,                0.44537,                 1.0841,                 1.5699,                 1.1698,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.92546,                0.78475,                 1.0636,                0.63525,                0.73872,                0.65227,                0.45032,                  1.086,                 1.5377,                 1.1699,             4.9677e-05,             4.9677e-05,             4.9677e-05
